pubchem_cid,iupac_name
13,"1,2,4-trichlorobenzene"
241,benzene
1140,toluene
6212,chloroform
6591,"1,1,2,2-tetrachloroethane"
7003,1-chloronaphthalene
7239,"1,2-dichlorobenzene"
7501,styrene
7809,"1,4-xylene"
7947,"1,3,5-trimethylbenzene"
7964,chlorobenzene
8030,thiophene
13229,cyclohexylbenzene
