polymer_id,iupac_name,common_name,mw,mn,dispersity,meta.regioregularity,meta.sidechain
88,"poly(3-hexylthiophene-2,5-diyl)",P3HT,1.4279000000000002,1.09,1.31,98.0,
89,"poly(3-hexylthiophene-2,5-diyl)",P3HT,11.591999999999999,5.6,2.07,98.0,
90,"poly(3-hexylthiophene-2,5-diyl)",P3HT,3.146,2.2,1.43,91.0,
91,"poly(3-hexylthiophene-2,5-diyl)",P3HT,6.608,5.6,1.18,91.0,
92,"poly(3-hexylthiophene-2,5-diyl)",P3HT,20.424,13.8,1.48,91.0,
93,"poly(3-hexylthiophene-2,5-diyl)",P3HT,25.65,19.0,1.35,91.0,
94,"poly(3-hexylthiophene-2,5-diyl)",P3HT,70.0,35.0,2.0,97.0,
95,"poly(3-hexylthiophene-2,5-diyl)",P3HT,163.2,68.0,2.4,90.0,
96,poly(dimethylsiloxane),PDMS,,,,,
97,poly(styrene),PS,2.2,,1.01,,
98,poly(styrene),PS,19.7,,1.03,,
99,poly(styrene),PS,97.1,,1.03,,
100,poly(styrene),PS,301.6,,1.04,,
101,poly(styrene),PS,280.0,,,,
102,phenyl-C70-butyric acid methyl ester,PC70BM,,,,,
103,phenyl-C61-butyric acid methyl ester,PCBM,,,,,
104,poly(styrene),PS,35.0,,,,
105,poly(styrene),PS,33.37,,1.03,,
106,ethylene glycol,EG,,,,,
